Datetime,CONC1,CONC2
2024-11-11 17:14:00,114.0,250.2
2024-11-11 17:15:00,111.71,247.2
2024-11-11 17:16:00,109.58,244.4
2024-11-11 17:17:00,107.65,241.8
2024-11-11 17:18:00,106.11,239.8
2024-11-11 17:19:00,104.48,237.6
2024-11-11 17:20:00,102.56,235.0
2024-11-11 17:21:00,100.83,232.8
2024-11-11 17:22:00,98.85,230.1
2024-11-11 17:23:00,97.11,227.8
2024-11-11 17:24:00,96.05,226.4
2024-11-11 17:25:00,95.16,225.2
2024-11-11 17:26:00,94.76,224.7
2024-11-11 17:27:00,94.57,224.5
2024-11-11 17:28:00,94.3,224.1
2024-11-11 17:29:00,94.0,223.7
2024-11-11 17:30:00,93.75,223.4
2024-11-11 17:31:00,93.34,222.8
2024-11-11 17:32:00,93.31,222.8
2024-11-11 17:33:00,93.95,223.6
2024-11-11 17:34:00,94.86,224.8
2024-11-11 17:35:00,95.64,225.9
2024-11-11 17:36:00,96.46,227.0
2024-11-11 17:37:00,97.31,228.1
2024-11-11 17:38:00,,227.8
2024-11-11 17:39:00,96.93,227.6
2024-11-11 17:40:00,96.6,227.1
2024-11-11 17:41:00,96.55,227.1
2024-11-11 17:42:00,96.23,226.7
2024-11-11 17:43:00,96.13,226.5
2024-11-11 17:44:00,95.6,225.8
2024-11-11 17:45:00,95.23,225.3
2024-11-11 17:46:00,94.58,224.5
2024-11-11 17:47:00,93.91,223.6
2024-11-11 17:48:00,93.41,222.9
2024-11-11 17:49:00,93.16,222.6
2024-11-11 17:50:00,92.99,222.4
2024-11-11 17:51:00,92.62,
2024-11-11 17:52:00,92.48,221.7
2024-11-11 17:53:00,92.16,221.3
2024-11-11 17:54:00,91.68,220.6
2024-11-11 17:55:00,91.26,220.1
2024-11-11 17:56:00,91.37,220.2
2024-11-11 17:57:00,,220.1
2024-11-11 17:58:00,91.39,
2024-11-11 17:59:00,,220.6
2024-11-11 18:00:00,91.43,220.3
2024-11-11 18:01:00,91.35,220.2
2024-11-11 18:02:00,91.4,220.3
2024-11-11 18:03:00,92.34,221.5
2024-11-11 18:04:00,93.25,222.7
2024-11-11 18:05:00,94.19,223.9
2024-11-11 18:06:00,,225.4
2024-11-11 18:07:00,96.02,226.4
2024-11-11 18:08:00,95.99,226.3
2024-11-11 18:09:00,96.16,226.6
