Datetime,CO2_1,CO2_2,CO2_3,CO2_4
2024-07-15 15:03:08,0.03720050000000008,0.51102187,-273.12998,9.22949955
2024-07-15 15:03:09,-25.004804213,-0.089599367,-201.42289,-47.091512
2024-07-15 15:03:10,307.901835,0.052008668999999993,-42.413176,59.5178095
2024-07-15 15:03:11,-50.0,-0.087075338,34.489883000000006,100.44128
2024-07-15 15:03:12,-50.0,-0.104764825,34.50518,100.46174
2024-07-15 15:03:13,-50.0,-0.10450239,34.528136,100.46856
2024-07-15 15:03:14,-50.0,-0.09972869649999999,34.551162500000004,100.47538
2024-07-15 15:03:15,-50.0,-0.0972495455,34.5895155,100.47538
2024-07-15 15:03:16,-50.0,-0.096059608,34.620239,100.47538
2024-07-15 15:03:17,-50.0,-0.096346249,34.65094,100.47538
2024-07-15 15:03:18,-50.0,-0.10376755,34.6970445,100.47538
2024-07-15 15:03:19,-50.0,-0.113190385,34.743286,100.46856
2024-07-15 15:03:20,-50.0,-0.11415194000000001,34.797188,100.46174
2024-07-15 15:03:21,-50.0,-0.11186269,34.835753,100.46174
